"历厘矫埃","郴何柯档","郴何嚼档","CO2丑档","寇何柯档","浅氢","浅加","老荤樊","穿利老荤樊","皑快"
"2024-11-19 00:31","11.8","89.9","412","-1.6","快","1.1","0","1095","0"
"2024-11-19 00:32","11.6","93.1","413","-1.5","快","1.3","0","1095","0"
"2024-11-19 00:33","11.7","91.7","412","-1.6","快","0.9","0","1095","0"
"2024-11-19 00:34","11.8","88.8","412","-1.5","快","1.1","0","1095","0"
"2024-11-19 00:35","12","88.2","412","-1.6","快","1.1","0","1095","0"
"2024-11-19 00:36","11.9","88.3","413","-1.6","快","1.1","0","1095","0"
"2024-11-19 00:37","11.9","89.2","413","-1.5","快","0.8","0","1095","0"
"2024-11-19 00:38","11.7","92.7","413","-1.5","快","1.1","0","1095","0"
"2024-11-19 00:39","11.7","93.9","413","-1.5","快","0.7","0","1095","0"
"2024-11-19 00:40","11.7","94.5","411","-1.5","快","0.7","0","1095","0"
"2024-11-19 00:41","11.8","92.5","411","-1.6","快","0.7","0","1095","0"
"2024-11-19 00:42","11.8","93.2","411","-1.5","快","0.8","0","1095","0"
"2024-11-19 00:43","11.7","94","412","-1.5","快","0.8","0","1095","0"
"2024-11-19 00:44","11.6","94.3","412","-1.5","快","0.7","0","1095","0"
"2024-11-19 00:45","11.8","90.7","412","-1.5","快","0.7","0","1095","0"
"2024-11-19 00:46","11.4","95","412","-1.5","快","0.9","0","1095","0"
"2024-11-19 00:47","11.8","92.1","413","-1.5","快","0.3","0","1095","0"
"2024-11-19 00:48","11.4","94","414","-1.4","快","0.7","0","1095","0"
"2024-11-19 00:49","11.7","89.7","414","-1.5","快","0.7","0","1095","0"
"2024-11-19 00:50","11.6","92.6","413","-1.7","快","0.5","0","1095","0"
"2024-11-19 00:51","11.5","95.6","413","-1.7","快","0.7","0","1095","0"
"2024-11-19 00:52","11.8","92.1","413","-1.6","快","0.5","0","1095","0"
"2024-11-19 00:53","11.7","93","413","-1.6","快","0.7","0","1095","0"
"2024-11-19 00:54","11.7","94.3","413","-1.5","快","0.4","0","1095","0"
"2024-11-19 00:55","11.8","91.4","411","-1.6","快","0.4","0","1095","0"
"2024-11-19 00:56","11.8","92.4","411","-1.6","快","0.6","0","1095","0"
"2024-11-19 00:57","11.6","94.1","411","-1.5","快","0.7","0","1095","0"
"2024-11-19 00:58","11.5","93.9","410","-1.6","快","0.7","0","1095","0"
"2024-11-19 00:59","11.7","92.6","411","-1.6","快","0.8","0","1095","0"
"2024-11-19 01:00","11.7","90.9","412","-1.7","快","0.8","0","1095","0"
"2024-11-19 01:01","11.8","90.5","411","-1.8","快","1.1","0","1095","0"
"2024-11-19 01:02","11.8","90.7","412","-1.7","快","1","0","1095","0"
"2024-11-19 01:03","11.7","91.4","414","-1.8","快","1.1","0","1095","0"
"2024-11-19 01:04","11.5","93.7","415","-1.7","快","1.1","0","1095","0"
"2024-11-19 01:05","11.6","91","414","-1.9","快","1.1","0","1095","0"
"2024-11-19 01:06","11.6","91.1","412","-1.8","快","1.1","0","1095","0"
"2024-11-19 01:07","11.5","93.4","412","-1.9","快","1.1","0","1095","0"
"2024-11-19 01:08","11.5","92.4","413","-1.9","快","1.1","0","1095","0"
"2024-11-19 01:09","11.4","94","417","-2","快","1.1","0","1095","0"
"2024-11-19 01:10","11.4","95.5","414","-2","快","1","0","1095","0"
"2024-11-19 01:11","11.6","92.3","414","-2.1","快","0.9","0","1095","0"
"2024-11-19 01:12","11.7","90.4","414","-2.2","快","1.2","0","1095","0"
"2024-11-19 01:13","11.5","92.4","413","-2.2","快","1.1","0","1095","0"
"2024-11-19 01:14","11.6","89.7","413","-2.2","快","1.5","0","1095","0"
"2024-11-19 01:15","11.7","91.1","414","-2.2","快","1.1","0","1095","0"
"2024-11-19 01:16","11.6","93.1","415","-2.1","快","1.1","0","1095","0"
"2024-11-19 01:17","11.5","93.8","415","-2.1","快","1.1","0","1095","0"
"2024-11-19 01:18","11.5","93.5","414","-2","快","1.1","0","1095","0"
"2024-11-19 01:19","11.5","91.3","416","-2","快","1.1","0","1095","0"
"2024-11-19 01:20","11.6","91.4","414","-2","快","1.3","0","1095","0"
"2024-11-19 01:21","11.5","91.8","414","-2.1","快","1.5","0","1095","0"
"2024-11-19 01:22","11.8","89.7","414","-2.2","快","1.3","0","1095","0"
"2024-11-19 01:23","11.5","94.5","415","-2.1","快","1.5","0","1095","0"
"2024-11-19 01:24","11.5","94.2","414","-2.1","快","1.5","0","1095","0"
"2024-11-19 01:25","11.5","94","414","-2.3","快","1.5","0","1095","0"
"2024-11-19 01:26","11.7","90.8","414","-2.3","快","1.5","0","1095","0"
"2024-11-19 01:27","11.7","92.4","414","-2.3","快","0.9","0","1095","0"
"2024-11-19 01:28","11.8","92.7","413","-2.3","快","1.1","0","1095","0"
"2024-11-19 01:29","11.5","94.5","413","-2.2","快","1.3","0","1095","0"
"2024-11-19 01:30","11.7","92.3","413","-2.2","快","1.1","0","1095","0"
"2024-11-19 01:31","11.7","95.1","413","-2.3","快","1.1","0","1095","0"
"2024-11-19 01:32","11.7","94.1","414","-2.3","快","1.1","0","1095","0"
"2024-11-19 01:33","11.8","94.7","414","-2.4","快","1.1","0","1095","0"
"2024-11-19 01:34","11.8","92.1","416","-2.2","快","1.1","0","1095","0"
"2024-11-19 01:35","11.7","92.9","416","-2.1","快","1.1","0","1095","0"
"2024-11-19 01:36","11.6","94.8","415","-2.3","快","1.1","0","1095","0"
"2024-11-19 01:37","12","91.2","415","-2.3","快","1.1","0","1095","0"
"2024-11-19 01:38","12","92.3","414","-2.4","快","1.1","0","1095","0"
"2024-11-19 01:39","12","93.1","414","-2.4","快","0.7","0","1095","0"
"2024-11-19 01:40","11.8","95.6","417","-2.4","快","1.1","0","1095","0"
"2024-11-19 01:41","11.9","95.8","417","-2.4","快","1.1","0","1095","0"
"2024-11-19 01:42","12","91.5","414","-2.3","快","0.8","0","1095","0"
"2024-11-19 01:43","11.8","93.9","416","-2.3","快","1.1","0","1095","0"
"2024-11-19 01:44","12","93.9","415","-2.3","快","0.7","0","1095","0"
"2024-11-19 01:45","11.9","93.3","416","-2.3","快","1.1","0","1095","0"
"2024-11-19 01:46","12.1","92.6","416","-2","快","0.7","0","1095","0"
"2024-11-19 01:47","12.2","90.7","416","-2","快","0.7","0","1095","0"
"2024-11-19 01:48","12.3","92.2","415","-2.2","快","1","0","1095","0"
"2024-11-19 01:49","12.2","93.6","414","-2.2","快","0.7","0","1095","0"
"2024-11-19 01:50","12.1","94.5","414","-2.2","快","0.7","0","1095","0"
"2024-11-19 01:51","12.1","94.8","415","-2","快","0.9","0","1095","0"
"2024-11-19 01:52","12","94","415","-2","快","0.7","0","1095","0"
"2024-11-19 01:53","12.1","92.6","412","-2.2","快","0.9","0","1095","0"
"2024-11-19 01:54","12.2","93.5","413","-2.2","快","0.7","0","1095","0"
"2024-11-19 01:55","12.3","92.5","412","-2.2","快","0.7","0","1095","0"
"2024-11-19 01:56","12.2","91.1","413","-2.2","快","0.7","0","1095","0"
"2024-11-19 01:57","12.2","94.3","414","-2.2","快","0.5","0","1095","0"
"2024-11-19 01:58","12.1","94.9","414","-2.2","快","1","0","1095","0"
"2024-11-19 01:59","12.4","90.1","414","-2.1","快","0.7","0","1095","0"
"2024-11-19 02:00","12.5","89.6","416","-2.2","快","0.7","0","1095","0"
"2024-11-19 02:01","12.4","92.1","414","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:02","12.4","91","412","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:03","12.5","91.3","412","-2.3","快","0.7","0","1095","0"
"2024-11-19 02:04","12.6","91.7","412","-2.3","快","0.9","0","1095","0"
"2024-11-19 02:05","12.5","91.7","415","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:06","12.6","92.9","416","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:07","12.3","94.5","417","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:08","12.4","91.5","416","-2.3","快","0.7","0","1095","0"
"2024-11-19 02:09","12.4","93.8","416","-2.4","快","0.7","0","1095","0"
"2024-11-19 02:10","12.4","93.1","416","-2.4","快","1","0","1095","0"
"2024-11-19 02:11","12.7","92.3","416","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:12","12.6","91.5","414","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:13","12.6","91.1","415","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:14","12.5","92.8","413","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:15","12.6","90.3","412","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:16","12.8","88","413","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:17","12.6","88.1","413","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:18","12.6","89.4","415","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:19","12.5","90.5","415","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:20","12.6","88.6","414","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:21","12.5","92.1","416","-2.2","快","0.7","0","1095","0"
"2024-11-19 02:22","12.3","90.5","416","-2","快","0.9","0","1095","0"
"2024-11-19 02:23","12.6","89.5","414","-1.9","快","0.9","0","1095","0"
"2024-11-19 02:24","12.5","92.1","415","-1.8","快","1.1","0","1095","0"
"2024-11-19 02:25","12.4","94.4","415","-1.9","快","0.3","0","1095","0"
"2024-11-19 02:26","12.5","93.4","414","-1.9","快","1","0","1095","0"
"2024-11-19 02:27","12.1","98.4","415","-1.9","快","0.7","0","1095","0"
"2024-11-19 02:28","12.5","95.5","416","-1.9","快","0.8","0","1095","0"
"2024-11-19 02:29","12.6","92.7","417","-1.9","快","0.8","0","1095","0"
"2024-11-19 02:30","12.5","92.4","417","-1.9","快","1","0","1095","0"
"2024-11-19 02:31","12.3","94.7","417","-2","快","1","0","1095","0"
"2024-11-19 02:32","12.4","92.7","416","-2","快","1.1","0","1095","0"
"2024-11-19 02:33","12.4","91.7","416","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:34","12.5","92.4","416","-2.1","快","0.7","0","1095","0"
"2024-11-19 02:35","12.6","92.1","416","-2.1","快","0.7","0","1095","0"
"2024-11-19 02:36","12.3","95.2","416","-2","快","1.1","0","1095","0"
"2024-11-19 02:37","12.3","95","415","-2","快","1","0","1095","0"
"2024-11-19 02:38","12.3","95.2","414","-2","快","1.4","0","1095","0"
"2024-11-19 02:39","12.5","93.9","416","-2","快","1.1","0","1095","0"
"2024-11-19 02:40","12.5","93.5","416","-2","快","1","0","1095","0"
"2024-11-19 02:41","12.5","90.4","415","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:42","12.6","88","415","-2.2","快","1.2","0","1095","0"
"2024-11-19 02:43","12.5","92.4","416","-2.2","快","1.2","0","1095","0"
"2024-11-19 02:44","12.4","95.5","419","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:45","12.5","90.9","415","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:46","12.4","93.1","416","-2.3","快","1.3","0","1095","0"
"2024-11-19 02:47","12.3","92","414","-2.3","快","1.3","0","1095","0"
"2024-11-19 02:48","12.5","90.7","414","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:49","12.4","95.6","414","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:50","12.4","94.2","417","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:51","12.7","90.2","415","-2.3","快","1.1","0","1095","0"
"2024-11-19 02:52","12.5","91.6","414","-2.4","快","0.7","0","1095","0"
"2024-11-19 02:53","12.5","93.5","415","-2.4","快","0.7","0","1095","0"
"2024-11-19 02:54","12.5","92.9","417","-2.3","快","0.8","0","1095","0"
"2024-11-19 02:55","12.5","91.1","417","-2.3","快","0.8","0","1095","0"
"2024-11-19 02:56","12.4","94.8","416","-2","快","1.1","0","1095","0"
"2024-11-19 02:57","12.3","94.5","416","-2","快","0.7","0","1095","0"
"2024-11-19 02:58","12.3","95.5","417","-2.2","快","1.1","0","1095","0"
"2024-11-19 02:59","12.4","94.5","417","-2.2","快","1.1","0","1095","0"
"2024-11-19 03:00","12.3","92.7","417","-2.2","快","1.1","0","1095","0"
"2024-11-19 03:01","12.5","91.1","417","-2.1","快","1.1","0","1095","0"
"2024-11-19 03:02","12.5","93","418","-2.2","快","1.1","0","1095","0"
"2024-11-19 03:03","12.3","95.5","418","-2.3","快","1.1","0","1095","0"
"2024-11-19 03:04","12.4","93.4","417","-2.3","快","1","0","1095","0"
"2024-11-19 03:05","12.5","94","416","-2.3","快","1.1","0","1095","0"
"2024-11-19 03:06","12.6","92.8","416","-2.3","快","1.1","0","1095","0"
"2024-11-19 03:07","12.6","92.1","417","-2.3","快","1.1","0","1095","0"
"2024-11-19 03:08","12.5","91.6","416","-2.4","快","1.1","0","1095","0"
"2024-11-19 03:09","12.2","94.7","414","-2.3","快","1.1","0","1095","0"
"2024-11-19 03:10","12.4","90.3","416","-2.3","快","1","0","1095","0"
"2024-11-19 03:11","12.3","92.5","416","-2.4","快","0.8","0","1095","0"
"2024-11-19 03:12","12.4","90.7","417","-2.3","快","1.1","0","1095","0"
"2024-11-19 03:13","12.2","94.6","419","-2.3","快","1.1","0","1095","0"
"2024-11-19 03:14","12.2","95.1","417","-2.4","快","1.1","0","1095","0"
"2024-11-19 03:15","12.4","91.6","417","-2.3","快","0.7","0","1095","0"
"2024-11-19 03:16","12.4","91.4","414","-2.5","快","0.7","0","1095","0"
"2024-11-19 03:17","12.2","95.4","416","-2.4","快","0.8","0","1095","0"
"2024-11-19 03:18","12.2","96.1","416","-2.3","快","0.5","0","1095","0"
"2024-11-19 03:19","12.4","95.1","418","-2.4","快","0.4","0","1095","0"
"2024-11-19 03:20","12.3","95.2","419","-2.4","快","0.6","0","1095","0"
"2024-11-19 03:21","12.3","93.6","418","-2.4","快","0.6","0","1095","0"
"2024-11-19 03:22","12.3","94.3","419","-2.5","快","0.7","0","1095","0"
"2024-11-19 03:23","12.4","90.6","418","-2.4","快","0.8","0","1095","0"
"2024-11-19 03:24","12.4","92.9","417","-2.3","快","0.7","0","1095","0"
"2024-11-19 03:25","12.4","92.7","417","-2.4","快","0.3","0","1095","0"
"2024-11-19 03:26","12.3","93.9","418","-2.3","快","0.3","0","1095","0"
"2024-11-19 03:27","12.3","95.9","418","-2.3","快","0.3","0","1095","0"
"2024-11-19 03:28","12.3","92.1","418","-2.3","快","0.3","0","1095","0"
"2024-11-19 03:29","12.2","93","417","-2.3","快","0.5","0","1095","0"
"2024-11-19 03:30","12.1","93.2","417","-2.4","快","0.7","0","1095","0"
"2024-11-19 03:31","12.6","88.6","419","-2.4","快","0.8","0","1095","0"
"2024-11-19 03:32","12.6","87.8","416","-2.4","快","1.1","0","1095","0"
"2024-11-19 03:33","12.1","95.4","419","-2.4","快","0.8","0","1095","0"
"2024-11-19 03:34","12.1","94.4","420","-2.4","快","0.9","0","1095","0"
"2024-11-19 03:35","12.1","95.1","420","-2.4","快","0.7","0","1095","0"
"2024-11-19 03:36","11.9","97.3","417","-2.4","快","0.7","0","1095","0"
"2024-11-19 03:37","12.2","91.5","418","-2.4","快","0.6","0","1095","0"
"2024-11-19 03:38","12.2","90.2","418","-2.4","快","0.6","0","1095","0"
"2024-11-19 03:39","12.4","90.2","419","-2.3","快","0.3","0","1095","0"
"2024-11-19 03:40","12.2","91.1","418","-2.3","快","0.7","0","1095","0"
"2024-11-19 03:41","12.3","90.4","418","-2.3","快","0.7","0","1095","0"
"2024-11-19 03:42","12","94.2","417","-2.3","快","1","0","1095","0"
"2024-11-19 03:43","11.9","95.5","416","-2.2","快","0.9","0","1095","0"
"2024-11-19 03:44","11.8","95.4","416","-2.3","快","0.8","0","1095","0"
"2024-11-19 03:45","12.1","94.4","418","-2.2","快","1","0","1095","0"
"2024-11-19 03:46","12","94.6","419","-2.2","快","0.7","0","1095","0"
"2024-11-19 03:47","12","95.9","418","-2.3","快","0.7","0","1095","0"
"2024-11-19 03:48","11.9","95.2","418","-2","快","0.3","0","1095","0"
"2024-11-19 03:49","12.1","92.4","417","-2.1","快","0.3","0","1095","0"
"2024-11-19 03:50","12.2","92.9","415","-2.1","快","0.3","0","1095","0"
"2024-11-19 03:51","12.1","95.4","417","-2.2","快","0.3","0","1095","0"
"2024-11-19 03:52","12","94.4","417","-2","快","0.3","0","1095","0"
"2024-11-19 03:53","12.2","92","420","-2.2","快","0.7","0","1095","0"
"2024-11-19 03:54","12","92.2","420","-2.1","快","0.5","0","1095","0"
"2024-11-19 03:55","11.9","95.6","420","-2.2","快","0.3","0","1095","0"
"2024-11-19 03:56","11.8","94.3","420","-2.2","快","0.3","0","1095","0"
"2024-11-19 03:57","12.1","91.6","421","-2.2","快","0.3","0","1095","0"
"2024-11-19 03:58","12","90.6","417","-2.2","快","0.7","0","1095","0"
"2024-11-19 03:59","11.8","96.6","417","-2.4","快","0.3","0","1095","0"
"2024-11-19 04:00","11.7","95.5","419","-2.2","快","0.7","0","1095","0"
"2024-11-19 04:01","12.1","90.2","419","-2.1","快","0.3","0","1095","0"
"2024-11-19 04:02","12","92.9","418","-2.3","快","0.2","0","1095","0"
"2024-11-19 04:03","11.8","92.9","418","-2.2","快","0.3","0","1095","0"
"2024-11-19 04:04","11.7","95.7","418","-2.2","快","0.3","0","1095","0"
"2024-11-19 04:05","11.9","91.8","418","-2.2","快","0.3","0","1095","0"
"2024-11-19 04:06","12","91","417","-2.2","快","0","0","1095","0"
"2024-11-19 04:07","11.8","94","418","-2.1","快","0","0","1095","0"
"2024-11-19 04:08","11.9","92.3","419","-2.2","快","0","0","1095","0"
"2024-11-19 04:09","12","91.8","418","-2","快","0","0","1095","0"
"2024-11-19 04:10","12","91.7","418","-2.1","快","0","0","1095","0"
"2024-11-19 04:11","11.7","95.9","418","-2","快","0","0","1095","0"
"2024-11-19 04:12","11.7","96","418","-2","快","0","0","1095","0"
"2024-11-19 04:13","11.7","94.4","420","-2.2","快","0","0","1095","0"
"2024-11-19 04:14","11.9","93.8","420","-1.9","快","0.3","0","1095","0"
"2024-11-19 04:15","11.8","93.2","420","-1.9","快","0","0","1095","0"
"2024-11-19 04:16","11.6","93.2","420","-1.9","快","0","0","1095","0"
"2024-11-19 04:17","11.7","93.7","420","-1.9","快","0","0","1095","0"
"2024-11-19 04:18","11.8","93.8","418","-1.9","快","0","0","1095","0"
"2024-11-19 04:19","11.5","96.2","418","-1.9","快","0","0","1095","0"
"2024-11-19 04:20","11.6","98","418","-1.9","快","0.2","0","1095","0"
"2024-11-19 04:21","11.9","91.6","418","-1.8","快","0.3","0","1095","0"
"2024-11-19 04:22","11.8","93.1","420","-1.8","快","0.6","0","1095","0"
"2024-11-19 04:23","11.7","95.3","419","-1.8","快","0.7","0","1095","0"
"2024-11-19 04:24","11.8","93.1","419","-1.8","快","0.4","0","1095","0"
"2024-11-19 04:25","12.2","88.8","419","-1.8","快","0.3","0","1095","0"
"2024-11-19 04:26","11.8","92","420","-1.8","快","0.6","0","1095","0"
"2024-11-19 04:27","11.9","90.8","420","-1.7","快","0.4","0","1095","0"
"2024-11-19 04:28","11.8","91.5","420","-1.7","快","0.3","0","1095","0"
"2024-11-19 04:29","11.9","91.7","420","-1.8","快","0.1","0","1095","0"
"2024-11-19 04:30","12","89.9","420","-1.8","快","0.2","0","1095","0"
"2024-11-19 04:31","11.7","92.2","420","-1.7","快","0","0","1095","0"
"2024-11-19 04:32","11.9","90.8","418","-1.8","快","0","0","1095","0"
"2024-11-19 04:33","11.9","91.4","420","-1.8","快","0.3","0","1095","0"
"2024-11-19 04:34","11.7","91.8","418","-1.8","快","0","0","1095","0"
"2024-11-19 04:35","11.8","94","419","-1.8","快","0","0","1095","0"
"2024-11-19 04:36","11.8","91.1","418","-1.8","快","0","0","1095","0"
"2024-11-19 04:37","11.9","91.3","418","-1.8","快","0","0","1095","0"
"2024-11-19 04:38","11.8","91.2","418","-1.8","快","0","0","1095","0"
"2024-11-19 04:39","11.6","94.2","417","-1.8","快","0","0","1095","0"
"2024-11-19 04:40","11.6","95.1","416","-1.9","快","0","0","1095","0"
"2024-11-19 04:41","11.7","96.7","421","-1.9","快","0","0","1095","0"
"2024-11-19 04:42","11.8","94.3","420","-1.9","快","0","0","1095","0"
"2024-11-19 04:43","11.9","92","418","-1.8","快","0","0","1095","0"
"2024-11-19 04:44","11.7","95.4","418","-1.8","快","0","0","1095","0"
"2024-11-19 04:45","11.7","95.3","420","-1.9","快","0.3","0","1095","0"
"2024-11-19 04:46","11.7","95","419","-1.9","快","0.3","0","1095","0"
"2024-11-19 04:47","11.7","93.8","419","-1.8","快","0.3","0","1095","0"
"2024-11-19 04:48","11.8","90.9","418","-1.8","快","0.3","0","1095","0"
"2024-11-19 04:49","11.5","93.7","418","-1.8","快","0.4","0","1095","0"
"2024-11-19 04:50","11.7","92.3","418","-1.8","快","0.3","0","1095","0"
"2024-11-19 04:51","11.9","91.1","420","-1.8","快","0.3","0","1095","0"
"2024-11-19 04:52","11.8","91.6","418","-1.9","快","0.3","0","1095","0"
"2024-11-19 04:53","11.6","92","418","-1.9","快","0.3","0","1095","0"
"2024-11-19 04:54","11.6","93.9","420","-1.8","快","0.7","0","1095","0"
"2024-11-19 04:55","11.7","95.5","419","-1.9","快","0.7","0","1095","0"
"2024-11-19 04:56","11.7","95.3","419","-2","快","0.7","0","1095","0"
"2024-11-19 04:57","11.8","91.2","419","-2","快","0.6","0","1095","0"
"2024-11-19 04:58","11.8","91.7","418","-2","快","0.4","0","1095","0"
"2024-11-19 04:59","11.6","94.7","420","-1.9","快","0.3","0","1095","0"
"2024-11-19 05:00","11.7","93.2","420","-1.9","快","0.3","0","1095","0"
"2024-11-19 05:01","11.6","95.2","420","-2","快","0.3","0","1095","0"
"2024-11-19 05:02","11.6","93","420","-2","快","0.3","0","1095","0"
"2024-11-19 05:03","11.6","93","420","-2","快","0.3","0","1095","0"
"2024-11-19 05:04","11.8","91.2","420","-2","快","0.3","0","1095","0"
"2024-11-19 05:05","11.9","88.9","420","-2","快","0.3","0","1095","0"
"2024-11-19 05:06","11.7","90.9","418","-2.3","快","0.3","0","1095","0"
"2024-11-19 05:07","11.7","90.9","420","-2.2","快","0.3","0","1095","0"
"2024-11-19 05:08","11.9","89.3","420","-2.2","快","0.3","0","1095","0"
"2024-11-19 05:09","11.6","94","420","-2.2","快","0.3","0","1095","0"
"2024-11-19 05:10","11.6","93.9","420","-2.2","快","0.3","0","1095","0"
"2024-11-19 05:11","11.9","90.4","420","-2.2","快","0","0","1095","0"
"2024-11-19 05:12","11.6","94.7","420","-2.1","快","0","0","1095","0"
"2024-11-19 05:13","11.6","93.1","420","-2.2","快","0","0","1095","0"
"2024-11-19 05:14","11.6","92.9","420","-2.1","快","0","0","1095","0"
"2024-11-19 05:15","11.6","91.8","419","-2.2","快","0","0","1095","0"
"2024-11-19 05:16","11.7","92.1","419","-2","快","0","0","1095","0"
"2024-11-19 05:17","11.9","91.2","420","-2.2","快","0","0","1095","0"
"2024-11-19 05:18","11.6","94.4","420","-2.2","快","0","0","1095","0"
"2024-11-19 05:19","11.8","90.3","420","-2.2","快","0","0","0","0"
"2024-11-19 05:20","11.9","90.1","420","-2.2","快","0","0","0","0"
"2024-11-19 05:21","11.9","90.3","421","-2.2","快","0","0","0","0"
"2024-11-19 05:22","11.8","94.2","422","-2.1","快","0","0","0","0"
"2024-11-19 05:23","11.8","93","421","-2.2","快","0","0","0","0"
"2024-11-19 05:24","11.7","92.4","421","-2.4","快","0","0","0","0"
"2024-11-19 05:25","11.6","93.3","421","-2.3","快","0.2","0","0","0"
"2024-11-19 05:26","11.6","93.4","420","-2.5","谅","0.4","0","0","0"
"2024-11-19 05:27","11.4","97.7","422","-2.5","谅","0.4","0","0","0"
"2024-11-19 05:28","11.6","92.7","422","-2.5","谅","0.3","0","0","0"
"2024-11-19 05:29","11.6","93.5","423","-2.6","谅","0.3","0","0","0"
"2024-11-19 05:30","11.6","92.1","423","-2.4","谅","0.3","0","0","0"
"2024-11-19 05:31","11.6","92.3","422","-2.6","谅","0.3","0","0","0"
"2024-11-19 05:32","11.6","94.4","422","-2.5","谅","0.3","0","0","0"
"2024-11-19 05:33","11.7","92.9","423","-2.5","谅","0.3","0","0","0"
"2024-11-19 05:34","11.6","97.5","423","-2.4","谅","0.3","0","0","0"
"2024-11-19 05:35","11.7","95.2","424","-2.6","谅","0.3","0","0","0"
"2024-11-19 05:36","12","92.2","422","-2.4","谅","0.3","0","0","0"
"2024-11-19 05:37","12","92","420","-2.5","谅","0.6","0","0","0"
"2024-11-19 05:38","12","93.1","420","-2.6","谅","0.4","0","0","0"
"2024-11-19 05:39","12.1","91.8","422","-2.5","谅","0.3","0","0","0"
"2024-11-19 05:40","12.2","94.7","423","-2.4","谅","0.3","0","0","0"
"2024-11-19 05:41","12.1","96.7","422","-2.5","谅","0.3","0","0","0"
"2024-11-19 05:42","12.3","94.1","422","-2.4","谅","0.3","0","0","0"
"2024-11-19 05:43","12.5","90.6","424","-2.4","谅","0.3","0","0","0"
"2024-11-19 05:44","12.6","94.1","425","-2.3","谅","0","0","0","0"
