구역이름,날짜,내온평균,내부습도,배지온도,CO2,외부온도,풍향,풍속,광량,누적일사,강우신호,
1 구역,="2024-11-13 01:03:10",14.95,99.3,14.9,1800,7.02,350,1,0,1085,0,
1 구역,="2024-11-13 01:04:10",14.7,99.9,14.7,1798,7,350,0.5,0,1085,0,
1 구역,="2024-11-13 01:05:10",14.65,98.3,14.8,1800,6.98,351,0.5,0,1085,0,
1 구역,="2024-11-13 01:06:11",14.7,96.8,14.7,1799,6.94,351,1,0,1085,0,
1 구역,="2024-11-13 01:07:11",14.45,99.1,14.4,1799,6.88,346,1,0,1085,0,
1 구역,="2024-11-13 01:08:12",14.85,97.8,14.8,1800,6.82,342,1.5,0,1085,0,
1 구역,="2024-11-13 01:09:12",14.3,99.9,14.7,1799,6.78,351,1.5,0,1085,0,
1 구역,="2024-11-13 01:10:12",14.75,97.2,14.6,1800,6.82,0,2.1,0,1085,0,
1 구역,="2024-11-13 01:11:13",14.8,99.6,14.8,1798,6.82,16,2.1,0,1085,0,
1 구역,="2024-11-13 01:12:13",14.6,99.7,14.6,1800,6.92,351,1,0,1085,0,
1 구역,="2024-11-13 01:13:13",14.45,99.9,14.5,1800,6.9,13,1,0,1085,0,
1 구역,="2024-11-13 01:14:14",15.05,98.1,15,1798,7.02,0,1,0,1085,0,
1 구역,="2024-11-13 01:15:14",14.65,99,14.6,1800,6.96,43,1.5,0,1085,0,
1 구역,="2024-11-13 01:16:14",14.75,97.9,14.7,1799,7,18,1.5,0,1085,0,
1 구역,="2024-11-13 01:17:15",14.55,99.3,14.7,1800,7,14,1,0,1085,0,
1 구역,="2024-11-13 01:18:15",14.45,99,14.4,1799,7.06,8,1,0,1085,0,
1 구역,="2024-11-13 01:19:16",14.85,99.6,14.8,1800,7.04,3,1,0,1085,0,
1 구역,="2024-11-13 01:20:16",14.55,99.4,14.5,1799,7.12,0,1.5,0,1085,0,
1 구역,="2024-11-13 01:21:16",14.85,99.5,14.9,1800,7.08,11,1.5,0,1085,0,
1 구역,="2024-11-13 01:22:17",14.6,98.8,14.6,1799,7.06,0,2.1,0,1085,0,
1 구역,="2024-11-13 01:23:17",14.45,99.9,14.4,1801,7.06,351,1,0,1085,0,
1 구역,="2024-11-13 01:24:18",14.85,97.7,14.8,1800,7.08,337,1.5,0,1085,0,
1 구역,="2024-11-13 01:25:18",14.7,98.9,14.7,1800,7.14,336,1,0,1085,0,
1 구역,="2024-11-13 01:26:18",14.65,99.9,14.6,1801,7.18,347,1,0,1085,0,
1 구역,="2024-11-13 01:27:19",14.9,98.6,14.9,1799,7.12,347,1,0,1085,0,
1 구역,="2024-11-13 01:28:19",14.5,99.2,14.5,1800,7.1,346,1,0,1085,0,
1 구역,="2024-11-13 01:29:20",14.9,95.2,14.9,1799,7.04,342,1,0,1085,0,
1 구역,="2024-11-13 01:30:20",14.4,99.7,14.4,1800,6.92,339,0.5,0,1085,0,
1 구역,="2024-11-13 01:31:21",14.95,95.4,14.9,1800,6.96,334,1.5,0,1085,0,
1 구역,="2024-11-13 01:32:23",14.45,99.9,14.4,1799,6.94,345,1,0,1085,0,
1 구역,="2024-11-13 01:33:23",14.65,99.9,14.6,1800,6.94,346,0.5,0,1085,0,
1 구역,="2024-11-13 01:34:23",14.5,99.9,14.5,1799,6.96,351,1,0,1085,0,
1 구역,="2024-11-13 01:35:23",14.7,98.1,14.7,1798,6.9,351,1,0,1085,0,
1 구역,="2024-11-13 01:36:24",14.9,97.8,14.9,1800,6.84,351,1,0,1085,0,
1 구역,="2024-11-13 01:37:24",14.55,99.9,14.6,1800,6.86,351,0.5,0,1085,0,
1 구역,="2024-11-13 01:38:25",14.75,99.1,14.7,1800,6.88,351,0,0,1085,0,
1 구역,="2024-11-13 01:39:25",15.1,96.9,15.1,1800,6.88,351,0.5,0,1085,0,
1 구역,="2024-11-13 01:40:25",15.05,97.2,15,1800,6.88,336,0.5,0,1085,0,
1 구역,="2024-11-13 01:41:26",14.8,96.2,14.7,1799,6.86,316,0.5,0,1085,0,
1 구역,="2024-11-13 01:42:26",14.95,97.9,14.9,1798,6.82,316,0.5,0,1085,0,
1 구역,="2024-11-13 01:43:26",14.9,99.9,14.9,1800,6.8,334,0.5,0,1085,0,
1 구역,="2024-11-13 01:44:27",15,96.6,15,1799,6.8,315,1,0,1085,0,
1 구역,="2024-11-13 01:45:27",15.05,99.2,15,1801,6.66,307,1.5,0,1085,0,
1 구역,="2024-11-13 01:46:28",14.8,99.9,14.8,1800,6.68,318,1,0,1085,0,
1 구역,="2024-11-13 01:47:28",14.95,98.4,14.9,1799,6.58,326,1,0,1085,0,
1 구역,="2024-11-13 01:48:28",14.65,99.9,14.4,1801,6.46,326,0.5,0,1085,0,
1 구역,="2024-11-13 01:49:29",14.75,99.9,14.4,1801,6.36,326,0,0,1085,0,
1 구역,="2024-11-13 01:50:29",14.8,99.9,14.8,1800,6.4,317,0,0,1085,0,
1 구역,="2024-11-13 01:51:29",15.05,97.9,15,1801,6.38,316,0,0,1085,0,
1 구역,="2024-11-13 01:52:30",14.65,99.9,14.8,1800,6.22,244,0.5,0,1085,0,
1 구역,="2024-11-13 01:53:30",14.85,98.2,14.8,1800,6.12,229,0.5,0,1085,0,
1 구역,="2024-11-13 01:54:31",14.9,97.6,14.9,1799,6.06,229,0,0,1085,0,
1 구역,="2024-11-13 01:55:31",14.6,99.9,14.6,1799,5.94,238,0.5,0,1085,0,
1 구역,="2024-11-13 01:56:31",14.7,99.1,14.8,1799,5.86,239,0,0,1085,0,
1 구역,="2024-11-13 01:57:32",14.8,98.9,14.8,1799,5.98,238,0,0,1085,0,
1 구역,="2024-11-13 01:58:32",14.8,98.4,14.8,1799,6.04,238,0,0,1085,0,
1 구역,="2024-11-13 01:59:32",14.35,99.9,14.3,1799,6.08,238,0,0,1085,0,
1 구역,="2024-11-13 02:00:33",14.8,99.9,14.9,1801,6.08,237,0,0,1085,0,
1 구역,="2024-11-13 02:01:33",14.85,99.6,14.8,1801,6.14,238,0.5,0,1085,0,
1 구역,="2024-11-13 02:02:34",14.5,99.9,14.5,1800,6.16,239,0,0,1085,0,
1 구역,="2024-11-13 02:03:34",14.9,99.9,15,1799,6.24,239,0.5,0,1085,0,
1 구역,="2024-11-13 02:04:34",14.7,99.9,14.7,1799,6.28,238,0,0,1085,0,
1 구역,="2024-11-13 02:05:35",14.85,99.9,14.8,1801,6.28,238,0,0,1085,0,
1 구역,="2024-11-13 02:06:35",14.6,99.8,14.6,1800,6.26,239,0,0,1085,0,
1 구역,="2024-11-13 02:07:35",14.75,99.8,14.6,1800,6.14,238,0,0,1085,0,
1 구역,="2024-11-13 02:08:36",14.8,97.7,14.8,1800,6.06,239,0,0,1085,0,
1 구역,="2024-11-13 02:09:36",14.65,99.6,14.6,1800,5.92,239,0,0,1085,0,
1 구역,="2024-11-13 02:10:36",14.8,99.9,14.8,1800,5.9,238,0,0,1085,0,
1 구역,="2024-11-13 02:11:37",14.45,99.9,14.4,1799,5.88,238,0,0,1085,0,
1 구역,="2024-11-13 02:12:37",15.15,97,15.1,1801,5.96,241,0.5,0,1085,0,
1 구역,="2024-11-13 02:13:38",14.5,99.9,14.5,1800,5.96,242,0.5,0,1085,0,
1 구역,="2024-11-13 02:14:38",14.5,99.9,14.5,1800,6.02,240,0,0,1085,0,
1 구역,="2024-11-13 02:15:38",14.9,99.5,15,1800,5.98,240,0,0,1085,0,
1 구역,="2024-11-13 02:16:39",14.85,99.6,14.8,1800,5.98,242,0,0,1085,0,
1 구역,="2024-11-13 02:17:39",14.7,99.9,14.7,1800,6,241,0,0,1085,0,
1 구역,="2024-11-13 02:18:39",14.6,99.9,14.5,1799,5.88,242,0,0,1085,0,
1 구역,="2024-11-13 02:19:40",15.05,95,15,1800,5.96,240,0,0,1085,0,
1 구역,="2024-11-13 02:20:40",15.15,99.1,15.1,1800,5.96,242,0,0,1085,0,
1 구역,="2024-11-13 02:21:40",14.8,99.9,14.8,1799,6.02,242,0,0,1085,0,
1 구역,="2024-11-13 02:22:41",14.8,99.9,14.8,1800,6.02,242,0,0,1085,0,
1 구역,="2024-11-13 02:23:41",15.1,98,15.1,1800,6.08,242,0,0,1085,0,
1 구역,="2024-11-13 02:24:42",14.75,97.3,14.7,1800,6.06,240,0,0,1085,0,
1 구역,="2024-11-13 02:25:42",14.8,99.4,14.8,1799,6.06,241,0,0,1085,0,
1 구역,="2024-11-13 02:26:42",14.8,99.9,14.7,1800,6.04,240,0,0,1085,0,
1 구역,="2024-11-13 02:27:43",14.85,99.5,14.8,1800,6.06,242,0.5,0,1085,0,
1 구역,="2024-11-13 02:28:43",14.8,99.9,14.8,1800,6.06,240,0,0,1085,0,
1 구역,="2024-11-13 02:29:43",14.95,98.7,14.9,1799,6.18,240,0,0,1085,0,
1 구역,="2024-11-13 02:30:44",14.8,99.4,14.6,1799,6.28,241,0.5,0,1085,0,
1 구역,="2024-11-13 02:31:44",15.05,97.5,15,1799,6.2,340,0.5,0,1085,0,
1 구역,="2024-11-13 02:32:45",14.25,99.9,14.2,1800,6.2,340,0,0,1085,0,
1 구역,="2024-11-13 02:33:45",14.85,95.1,14.8,1799,6.16,340,0.5,0,1085,0,
1 구역,="2024-11-13 02:34:45",14.6,99.9,14.6,1800,6.08,340,0,0,1085,0,
1 구역,="2024-11-13 02:35:46",14.8,99.4,14.8,1799,6.08,339,0,0,1085,0,
1 구역,="2024-11-13 02:36:46",14.9,99,14.9,1799,6.1,339,0,0,1085,0,
1 구역,="2024-11-13 02:37:46",14.6,99.9,14.6,1799,6.18,340,0.5,0,1085,0,
1 구역,="2024-11-13 02:38:47",14.95,99.7,14.9,1801,6.18,340,0.5,0,1085,0,
1 구역,="2024-11-13 02:39:47",14.55,99.9,14.5,1800,6.1,339,0.5,0,1085,0,
1 구역,="2024-11-13 02:40:48",14.75,98.9,14.7,1799,6.08,334,0.5,0,1085,0,
1 구역,="2024-11-13 02:41:48",14.85,96.7,14.8,1799,6.02,333,0.5,0,1085,0,
1 구역,="2024-11-13 02:42:48",14.6,97.8,14.6,1799,6,334,0,0,1085,0,
1 구역,="2024-11-13 02:43:49",14.65,97.7,14.6,1799,6.06,326,0.5,0,1085,0,
1 구역,="2024-11-13 02:44:49",14.6,98.1,14.6,1800,6.02,307,1,0,1085,0,
1 구역,="2024-11-13 02:45:49",14.9,96.3,14.8,1800,5.96,296,1,0,1085,0,
1 구역,="2024-11-13 02:46:50",14.5,97.4,14.5,1799,5.94,307,1,0,1085,0,
1 구역,="2024-11-13 02:47:50",14.5,99.9,14.5,1799,5.96,309,1,0,1085,0,
1 구역,="2024-11-13 02:48:51",14.4,99.9,14.4,1800,5.94,327,1,0,1085,0,
1 구역,="2024-11-13 02:49:51",14.75,98.6,14.7,1800,6.04,334,1,0,1085,0,
1 구역,="2024-11-13 02:50:51",14.7,99.9,14.7,1799,6.1,349,0.5,0,1085,0,
1 구역,="2024-11-13 02:51:52",14.75,97.3,14.7,1800,6.1,351,1,0,1085,0,
1 구역,="2024-11-13 02:52:52",14.8,97.7,14.6,1800,6.04,0,0.5,0,1085,0,
1 구역,="2024-11-13 02:53:52",14.95,96.5,14.9,1799,5.98,7,0.5,0,1085,0,
1 구역,="2024-11-13 02:54:53",14.5,99.9,14.5,1800,5.9,6,1,0,1085,0,
1 구역,="2024-11-13 02:55:53",14.75,98.1,14.7,1800,5.88,5,0.5,0,1085,0,
1 구역,="2024-11-13 02:56:54",14.6,99.9,14.6,1799,5.86,331,0.5,0,1085,0,
1 구역,="2024-11-13 02:57:54",14.95,99.9,14.9,1800,5.82,323,0.5,0,1085,0,
1 구역,="2024-11-13 02:58:54",14.65,99.9,14.6,1800,5.9,326,1,0,1085,0,
1 구역,="2024-11-13 02:59:55",14.9,99.9,15,1799,5.9,314,1,0,1085,0,
1 구역,="2024-11-13 03:00:55",14.75,97.3,14.7,1800,5.92,326,1,0,1085,0,
1 구역,="2024-11-13 03:01:55",14.7,99,14.7,1801,6.02,326,0,0,1085,0,
1 구역,="2024-11-13 03:02:56",14.55,99,14.5,1800,6.08,327,0.5,0,1085,0,
1 구역,="2024-11-13 03:03:56",14.45,99.9,14.5,1800,5.98,329,0.5,0,1085,0,
1 구역,="2024-11-13 03:04:23",14.8,99.1,14.8,1801,6,329,0.5,0,1085,0,
1 구역,="2024-11-13 03:05:23",14.6,99.6,14.6,1800,6,330,0.5,0,1085,0,
1 구역,="2024-11-13 03:06:24",14.8,98.2,14.8,1799,5.94,329,1,0,1085,0,
1 구역,="2024-11-13 03:07:24",14.85,99.9,14.8,1800,5.9,322,0.5,0,1085,0,
1 구역,="2024-11-13 03:08:25",15.05,99.2,15,1799,5.84,294,0.5,0,1085,0,
1 구역,="2024-11-13 03:09:25",15.15,95.1,15.1,1799,5.86,306,1,0,1085,0,
1 구역,="2024-11-13 03:10:25",15.35,97,15.2,1800,5.72,302,1,0,1085,0,
1 구역,="2024-11-13 03:11:26",15,98.4,15,1801,5.76,302,1,0,1085,0,
1 구역,="2024-11-13 03:12:26",15.05,99.9,15,1800,5.78,318,1.5,0,1085,0,
1 구역,="2024-11-13 03:13:26",15.05,99.9,15,1799,5.78,322,2.1,0,1085,0,
1 구역,="2024-11-13 03:14:27",14.8,99.5,14.8,1799,5.68,337,1.5,0,1085,0,
1 구역,="2024-11-13 03:15:27",15.6,95.9,15.6,1799,5.8,347,1.5,0,1085,0,
1 구역,="2024-11-13 03:16:28",15,98.5,15,1800,5.86,341,1.5,0,1085,0,
1 구역,="2024-11-13 03:17:28",15.35,98.5,15.3,1801,5.88,351,1.5,0,1085,0,
1 구역,="2024-11-13 03:18:28",15.05,99.9,15,1800,5.94,256,1,0,1085,0,
1 구역,="2024-11-13 03:19:29",15.2,99.9,15.2,1800,5.96,240,1.5,0,1085,0,
1 구역,="2024-11-13 03:20:29",15.35,99.8,15.3,1799,5.98,330,1,0,1085,0,
1 구역,="2024-11-13 03:21:29",15.25,99.5,15.2,1801,6.02,334,1.5,0,1085,0,
1 구역,="2024-11-13 03:22:30",15.4,99.7,15.4,1800,6,342,1.5,0,1085,0,
1 구역,="2024-11-13 03:23:30",15.3,99.7,15.3,1799,6.02,330,1.5,0,1085,0,
1 구역,="2024-11-13 03:24:31",15.55,99.2,15.5,1800,6.04,335,1.5,0,1085,0,
1 구역,="2024-11-13 03:25:31",15.25,99.1,15.3,1800,6.06,335,2.1,0,1085,0,
1 구역,="2024-11-13 03:26:31",15.7,95.7,15.7,1801,6.06,343,1.5,0,1085,0,
1 구역,="2024-11-13 03:27:32",15.4,98.7,15.4,1799,6.08,342,1.5,0,1085,0,
1 구역,="2024-11-13 03:28:32",15.75,96.6,15.7,1800,6.16,263,1.5,0,1085,0,
1 구역,="2024-11-13 03:29:33",15.4,98.5,15.5,1799,6.3,0,2.1,0,1085,0,
1 구역,="2024-11-13 03:30:33",15.3,99.9,15.3,1800,6.28,9,1.5,0,1085,0,
1 구역,="2024-11-13 03:31:33",15.5,98,15.5,1800,6.24,351,1,0,1085,0,
1 구역,="2024-11-13 03:32:34",15.55,98.9,15.5,1800,6.2,346,1,0,1085,0,
1 구역,="2024-11-13 03:33:34",15.4,99.9,15.4,1800,6.12,340,1.5,0,1085,0,
1 구역,="2024-11-13 03:34:34",15.35,99.9,15.4,1798,6.12,351,2.1,0,1085,0,
1 구역,="2024-11-13 03:35:35",15.45,98.9,15.4,1800,6.16,350,2.1,0,1085,0,
1 구역,="2024-11-13 03:36:35",15.65,99.9,15.6,1799,6.16,351,1.5,0,1085,0,
1 구역,="2024-11-13 03:37:35",15.6,99,15.6,1800,6.22,335,0.5,0,1085,0,
1 구역,="2024-11-13 03:38:36",15.6,98.3,15.6,1801,6.3,324,1.5,0,1085,0,
1 구역,="2024-11-13 03:39:36",15.6,99.7,15.6,1800,6.22,338,1,0,1085,0,
1 구역,="2024-11-13 03:40:37",15.35,99.9,15.3,1801,6.26,328,1,0,1085,0,
1 구역,="2024-11-13 03:41:37",15.6,97.6,15.6,1800,6.2,321,1,0,1085,0,
1 구역,="2024-11-13 03:42:37",15.55,99.6,15.5,1800,6.28,248,1.5,0,1085,0,
1 구역,="2024-11-13 03:43:38",15.45,97.8,15.4,1799,6.26,351,0.5,0,1085,0,
1 구역,="2024-11-13 03:44:38",15.35,98.3,15.3,1800,6.2,342,1,0,1085,0,
1 구역,="2024-11-13 03:45:38",15.3,99.1,15.3,1799,6.14,0,0,0,1085,0,
1 구역,="2024-11-13 03:46:39",15.95,94.7,15.6,1800,6.24,0,0,0,1085,0,
1 구역,="2024-11-13 03:47:39",15.15,99.9,15.1,1801,6.14,0,0,0,1085,0,
1 구역,="2024-11-13 03:48:40",15.3,98.6,15.3,1800,6.16,0,0,0,1085,0,
1 구역,="2024-11-13 03:49:40",15.5,99.3,15.5,1800,6.3,0,0,0,1085,0,
1 구역,="2024-11-13 03:50:40",15.55,99.1,15.5,1799,6.3,0,0,0,1085,0,
1 구역,="2024-11-13 03:51:41",15.55,98.1,15.5,1799,6.2,0,0,0,1085,0,
1 구역,="2024-11-13 03:52:41",15.25,99.9,15.2,1799,6.2,0,0,0,1085,0,
1 구역,="2024-11-13 03:53:41",15.5,98.1,15.5,1799,6.16,0,0,0,1085,0,
1 구역,="2024-11-13 03:54:42",15.7,98.2,15.6,1800,5.98,0,0,0,1085,0,
1 구역,="2024-11-13 03:55:42",15.3,98.6,15.2,1800,5.96,0,0,0,1085,0,
1 구역,="2024-11-13 03:56:42",15.2,99.9,15.2,1799,5.9,0,0,0,1085,0,
1 구역,="2024-11-13 03:57:43",14.95,99.9,14.9,1801,5.94,0,0,0,1085,0,
1 구역,="2024-11-13 03:58:43",15.25,96.9,15.2,1799,5.86,0,0,0,1085,0,
1 구역,="2024-11-13 03:59:44",15.5,98,15.5,1800,5.88,0,0,0,1085,0,
1 구역,="2024-11-13 04:00:44",15.3,99.2,15.3,1800,5.9,0,0,0,1085,0,
1 구역,="2024-11-13 04:01:44",15.2,99.9,15.2,1800,5.9,308,0.5,0,1085,0,
1 구역,="2024-11-13 04:02:45",15,99.9,15,1799,5.78,310,0.5,0,1085,0,
1 구역,="2024-11-13 04:03:45",15.2,98,15.2,1800,5.72,309,0.5,0,1085,0,
1 구역,="2024-11-13 04:04:45",15.5,98,15.5,1801,5.66,309,0,0,1085,0,
1 구역,="2024-11-13 04:05:46",15.3,99.9,15.3,1800,5.54,308,0,0,1085,0,
1 구역,="2024-11-13 04:06:46",15.2,98.7,15.2,1800,5.44,308,0,0,1085,0,
1 구역,="2024-11-13 04:07:47",15.2,98,15.2,1800,5.34,309,0,0,1085,0,
1 구역,="2024-11-13 04:08:47",15.3,97.7,15.3,1801,5.34,309,0.5,0,1085,0,
1 구역,="2024-11-13 04:09:47",15.1,98.4,15.1,1800,5.34,310,0.5,0,1085,0,
1 구역,="2024-11-13 04:10:48",15.45,96.8,15.4,1800,5.26,308,0.5,0,1085,0,
1 구역,="2024-11-13 04:11:48",15.2,99.9,15.1,1799,5.36,309,0,0,1085,0,
1 구역,="2024-11-13 04:12:48",15.3,99.6,15.3,1800,5.34,310,0,0,1085,0,
1 구역,="2024-11-13 04:13:49",15.25,98.8,15.2,1799,5.38,309,0,0,1085,0,
1 구역,="2024-11-13 04:14:49",14.9,99.8,14.9,1799,5.36,309,0.5,0,1085,0,
1 구역,="2024-11-13 04:15:50",15.35,99.9,15.2,1800,5.4,308,0.5,0,1085,0,
1 구역,="2024-11-13 04:16:50",15.2,99.9,15.2,1800,5.36,310,0.5,0,1085,0,
1 구역,="2024-11-13 04:17:50",15.4,96.7,15.4,1798,5.44,309,0.5,0,1085,0,
1 구역,="2024-11-13 04:18:51",14.9,99.9,14.9,1800,5.32,309,0.5,0,1085,0,
1 구역,="2024-11-13 04:19:51",15.15,98.6,15.1,1799,5.32,334,0.5,0,1085,0,
1 구역,="2024-11-13 04:20:51",14.75,99.9,14.7,1799,5.24,351,0.5,0,1085,0,
1 구역,="2024-11-13 04:21:52",15.15,97.7,15.1,1800,5.14,351,1,0,1085,0,
1 구역,="2024-11-13 04:22:52",15.15,99.9,15.1,1800,5.12,351,0.5,0,1085,0,
1 구역,="2024-11-13 04:23:53",15.05,99.1,15,1799,5.24,350,0.5,0,1085,0,
1 구역,="2024-11-13 04:24:53",15.1,99.2,15.1,1800,5.18,350,0.5,0,1085,0,
1 구역,="2024-11-13 04:25:53",14.9,99.9,14.9,1800,5.3,350,1,0,1085,0,
1 구역,="2024-11-13 04:26:54",14.85,99.9,14.8,1798,5.42,350,0.5,0,1085,0,
1 구역,="2024-11-13 04:27:54",14.65,99.9,14.6,1799,5.48,351,0.5,0,1085,0,
1 구역,="2024-11-13 04:28:54",15.25,98.3,15.2,1800,5.36,350,0.5,0,1085,0,
1 구역,="2024-11-13 04:29:55",14.7,99.9,14.7,1800,5.34,350,1,0,1085,0,
1 구역,="2024-11-13 04:30:55",14.7,99.9,14.7,1800,5.24,351,0.5,0,1085,0,
1 구역,="2024-11-13 04:31:56",14.85,98.1,14.8,1799,5.16,352,0.5,0,1085,0,
1 구역,="2024-11-13 04:32:56",14.8,99.9,14.8,1800,5.02,351,1,0,1085,0,
1 구역,="2024-11-13 04:33:56",14.95,99.9,15.2,1799,5.02,243,1,0,1085,0,
1 구역,="2024-11-13 04:34:57",14.85,99.3,15,1799,5.04,0,1,0,1085,0,
1 구역,="2024-11-13 04:35:57",14.9,98.9,14.9,1800,5,0,1,0,1085,0,
