"";"CO2 Dose State";"Light Acc Today";"Meas CO2 Level";"Meas Rel Hum";"Meas GH Temp";"Rain State";"Meas Light";"Meas Wind Speed";"Meas Wind Dir";"Meas Out Temp";"EC Dosing";"pH Dosing";"Calc pH Level";"Meas pH 1 Level";"Meas pH 2 Level";"Meas EC 1 Level";"Meas EC 2 Level";"Meas EC 1 Level";"Irrig Flow";"Irrig Flow"
"18-11-2024 04:50:00";0;2;590;86.83;14.28;0;0.18;0;1;1.6;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:55:00";0;2;589.17;87;14.22;0;0.12;0;1;1.43;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:00:00";0;2;592.33;87;14.12;0;0.1;0;2;1.32;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:05:00";0;2;609.67;87;14.27;0;0.1;0;1;1.22;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:10:00";0;2;615.5;86.17;14.22;0;0.1;0;1;1.2;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:15:00";0;2;619.33;85.17;14.45;0;0.18;0;1;1.2;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:20:00";0;2;617.5;84.17;14.58;0;0.12;0;1;1.2;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:25:00";0;2;622;85.67;14.6;0;0.18;0;1;1.28;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:30:00";0;2;632.93;86;14.6;0;0.2;0;1;1.38;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:35:00";0;2;652.36;85.17;14.77;0;0.2;0;1;1.73;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:40:00";0;2;695.68;85;14.72;0;0.2;0;1;1.63;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 05:45:00";0;2;721.36;83.35;14.53;0;0.2;0;1;1.68;0;0;0;6.3;6.6;3.3;3.42;3.3;-32767;0
"18-11-2024 05:50:00";0;2;741.53;83;14.42;0;0.2;0;0;1.62;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 05:55:00";0;2;746.65;85.48;14.57;0;0.12;0;1;1.52;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:00:00";0;2;742.04;85.17;14.77;0;0.1;0;0;1.5;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:05:00";0;2;741;84.17;14.97;0;0.1;0;1;1.5;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:10:00";0;2;751.75;84.83;15;0;0.1;0;1;1.5;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:15:00";0;2;773.84;84.17;15.08;0;0.18;0;1;1.5;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:20:00";0;2;836.69;84.83;15.02;0;0.12;0;1;1.33;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:25:00";0;2.83;899.43;84.17;15.17;0;0.1;0;1;1.38;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:30:00";0;3;933.15;84;15.12;0;0.18;0;1;1.57;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:35:00";0;3;950.4;86.48;15.02;0;0.12;0;1;1.6;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:40:00";0;3;977.8;85.35;15.17;0;0.18;0;1;1.6;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:45:00";0;3;1002.84;86.65;15.28;0;0.12;0;1;1.43;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:50:00";0;3;1010.31;87;15.3;0;0.18;0;0;1.57;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 06:55:00";0;3;1020.09;86.17;15.47;0;0.2;0;1;1.6;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:00:00";0;3;1025.31;86;15.5;0;0.2;0;0;1.43;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:05:00";0;3;1030.13;86;15.58;0;0.28;0;1;1.48;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:10:00";0;3;1032.65;87.65;15.6;0;0.38;0;2;1.25;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:15:00";0;3;1062.76;88;15.77;0;0.4;0;3;0.62;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:20:00";0;3;1107.85;88;15.88;0;1.23;0;3;0.83;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:25:00";0;3.83;1142.45;88;15.98;0;2.23;0;2;1.31;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:30:00";0;4.83;1146.35;87.17;15.92;0;2.98;0;1;1.4;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:35:00";0;5.83;1144.35;87.83;15.9;0;3.6;0;1;1.57;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:40:00";0;6.83;1158.05;87.17;15.98;0;4.53;0;1;1.93;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:45:00";0;8.65;1170.92;88.65;16;0;5.53;0;2;2.17;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:50:00";0;10.65;1196.97;88.17;16.17;0;6.61;0;2;2.12;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 07:55:00";0;12.65;1256.56;88.83;16.37;0;7.79;0;1;2.02;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:00:00";0;15.48;1306.85;88.17;16.48;0;9.07;0;1;2.08;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:05:00";0;18.48;1320.79;88;16.25;0;10.29;0;1;2.18;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:10:00";0;21.48;1332.75;88;15.54;0;11.49;0;1;2.45;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:15:00";0;25.31;1301.11;84.69;15.57;0;12.69;0;2;2.67;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:20:00";0;29.31;1299.79;84;15.77;0;14.14;0;0;2.87;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:25:00";0;33.31;1325.8;83.17;15.97;0;15.31;0;1;3.07;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:30:00";0;38.13;1358.28;84.65;16.17;0;16.74;0;1;3.18;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:35:00";0;43.93;1374.68;86.64;16.53;0;18.15;0;1;3.45;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:40:00";0;49.1;1382.74;87.82;16.52;0;19.47;0;1;3.58;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:45:00";0;55.74;1300.36;88;16.58;0;20.93;0;0;3.68;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:50:00";0;61.92;1255.76;87.18;16.93;0;22.27;0;1;3.7;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 08:55:00";0;68.74;1247.54;87;17.25;0;23.48;0;1;3.95;0;0;0;6.3;6.6;3.3;3.4;3.3;-32767;0
"18-11-2024 09:00:00";0;75.74;1234.7;86.18;17.63;0;24.85;0;1;3.92;0;0;0;6.3;6.6;3.3;3.48;3.3;-32767;0
"18-11-2024 09:05:00";0;83.56;1214.78;85.18;18.03;0;26.08;0;1;3.82;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 09:10:00";0;91.56;1206.08;84.18;18.43;0;27.28;0;1;4.21;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 09:15:00";0;100.38;1157.44;83.18;18.83;0;28.48;0;1;4.22;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 09:20:00";0;109.38;1124.86;84.64;19.23;0;29.77;0;0;4.36;20.5;62.57;5.08;6.22;6.52;3.05;3.09;3.05;-32767;196.8
"18-11-2024 09:25:00";0;118.38;1091.3;84.18;19.38;0;30.9;0;1;4.48;23.85;76.71;6.2;6.28;6.5;3;3.08;3;-32767;904.2
"18-11-2024 09:30:00";0;127.38;1057.94;79.08;19.65;0;31.92;0;2;4.75;23.68;65.98;6.2;6.3;6.5;3;3.1;3;-32767;1656.8
"18-11-2024 09:35:00";0;137.2;1016.74;75.54;19.21;0;33.33;0;1;4.64;4.27;11.45;1.12;6.3;6.5;3.08;3.18;3.08;-32767;2372.2
"18-11-2024 09:40:00";0;148.02;906.5;71.72;18.69;0;34.58;0;1;4.76;0;0;0;6.3;6.5;3.1;3.36;3.1;-32767;2500
"18-11-2024 09:45:00";0;158.2;829.06;68.54;18.52;0;35.7;0;1;5.05;0;0;0;6.3;6.58;3.1;3.48;3.1;-32767;2500
"18-11-2024 09:50:00";0;169.02;750.58;68;18.25;0;36.72;0;1;5.43;0;0;0;6.3;6.6;3.1;3.58;3.1;-32767;2500
"18-11-2024 09:55:00";0;180.02;681.06;66.36;16.72;0;37.72;0;1;5.34;0;0;0;6.3;6.6;3.1;3.68;3.1;-32767;2500
"18-11-2024 10:00:00";0;191.84;596.84;65.18;16.73;0;38.88;0;2;5.3;0;0;0;6.3;6.6;3.1;3.78;3.1;-32767;2500
"18-11-2024 10:05:00";0;203.84;536.72;71.56;17.54;0;39.76;0;1;5.14;0;0;0;6.3;6.6;3.1;3.8;3.1;-32767;2500
"18-11-2024 10:10:00";0;215.84;512.24;68.9;18.93;0;40.56;0;1;5.1;19.02;54.04;5.08;6.3;6.52;3.02;3.23;3.02;-32767;2951
"18-11-2024 10:15:00";0;227.84;489.32;70.46;20.02;0;41.77;0;1;5.35;25.82;74.84;6.2;6.3;6.5;3;3.1;3;-32767;3665
"18-11-2024 10:20:00";0;240.66;474.34;71;18.97;0;43.07;0;1;5.65;25.99;77.37;6.2;6.3;6.5;3;3.1;3;-32767;4406.8
"18-11-2024 10:25:00";0;253.66;453.14;66.9;17.06;0;43.96;0;1;5.21;4.66;13.95;1.12;6.3;6.5;3;3.1;3;-32767;4868
"18-11-2024 10:30:00";0;267.48;435.88;66;17.77;0;44.67;0;1;5.35;0;0;0;6.3;6.58;3;3.35;3;-32767;4940
"18-11-2024 10:35:00";0;280.66;421.52;66.82;19.31;0;45.54;0;1;5.24;0;0;0;6.3;6.6;3;3.48;3;-32767;4940
"18-11-2024 10:40:00";0;294.48;408.34;67.82;20.42;0;46.6;0;0;5.28;0;0;0;6.3;6.6;3;3.58;3;-32767;4940
"18-11-2024 10:45:00";0;309.3;394.52;66.36;17.98;0;47.7;0;1;5.38;21.48;66.75;5.08;6.3;6.6;3;3.11;3;-32767;5022
"18-11-2024 10:50:00";0;323.48;396.92;68.46;17.73;0;48.31;0;0;5.56;23.41;79.68;6.2;6.3;6.52;3;3.08;3;-32767;5646.8
"18-11-2024 10:55:00";0;338.3;399.64;69;19.03;0;48.73;0;1;5.44;24.52;67.41;6.2;6.3;6.5;3;3.02;3;-32767;6403.2
"18-11-2024 11:00:00";0;352.48;387.7;67.36;20.53;0;49.21;0;1;5.32;22.19;63.41;6.2;6.3;6.5;3;3.08;3;-32767;7163.2
"18-11-2024 11:05:00";0;367.3;376.8;75.2;20.55;0;49.96;0;0;5.63;3.89;11.36;1.12;6.3;6.58;3;3.18;3;-32767;7365.6
"18-11-2024 11:10:00";0;382.3;372.54;67.98;18.53;0;50.26;0;0;5.62;0;0;0;6.3;6.6;3;3.36;3;-32767;7380
"18-11-2024 11:15:00";0;397.3;385.94;62.72;18.84;0;50.79;0;0;5.68;0;0;0;6.38;6.6;3;3.48;3;-32767;7380
"18-11-2024 11:20:00";0;413.12;394.74;68.56;19.57;0;51.39;0;0;5.78;19.43;58.88;5.08;6.32;6.52;3;3.17;3;-32767;7601.4
"18-11-2024 11:25:00";0;428.3;405.84;76.56;20.44;0;51.83;0;0;6.05;22.88;70.16;6.2;6.3;6.5;3.08;3.1;3.08;-32767;8240.4
"18-11-2024 11:30:00";0;444.12;475.24;82.1;21.67;0;51.98;0;0;6.59;23.44;75.87;6.2;6.3;6.5;3.02;3.1;3.02;-32767;8985
"18-11-2024 11:35:00";0;460.12;501.48;73.16;20.34;0;52.25;0;0;6.13;4.25;13.9;1.12;6.3;6.5;3.08;3.1;3.08;-32767;9694
"18-11-2024 11:40:00";0;475.3;495.8;59.52;19.43;0;52.3;0;0;5.92;0;0;0;6.3;6.58;3.1;3.26;3.1;-32767;9820
"18-11-2024 11:45:00";0;491.12;472.68;66.02;19.87;0;52.71;0;1;6.31;0;0;0;6.3;6.6;3.1;3.46;3.1;-32767;9820
"18-11-2024 11:50:00";0;507.12;445.04;72.1;20.82;0;52.72;0;0;6.56;0;0;0;6.3;6.6;3.1;3.58;3.1;-32767;9820
"18-11-2024 11:55:00";0;523.12;412.12;75.46;21.82;0;52.86;0;0;6.52;17.22;64.7;5.08;6.3;6.52;3.1;3.27;3.1;-32767;10262.8
"18-11-2024 12:00:00";0;539.12;411.74;73.54;21.75;0;52.9;0;0;6.75;26.9;71.77;6.2;6.3;6.5;2.94;2.95;2.94;-32767;10983.2
"18-11-2024 12:05:00";0;555.12;503.2;70.54;21.13;0;53.15;0;0;6.47;40.99;76.1;6.2;6.46;6.66;2.65;2.74;2.65;-32767;11751.4
"18-11-2024 12:10:00";0;571.03;546.62;66.74;20.67;0;53.28;0;1;7.05;8.12;14.35;1.15;6.5;6.7;2.6;2.7;2.6;-32767;12183.24
"18-11-2024 12:15:00";0;587.01;556.88;61.93;21.58;0;53.3;0;1;6.87;0;0;0;6.5;6.78;2.6;2.78;2.6;-32767;12250
"18-11-2024 12:20:00";0;602.2;517.33;57.75;22.29;0;53.22;0;0;7.13;0;0;0;6.5;6.8;2.6;2.88;2.6;-32767;12250
"18-11-2024 12:25:00";0;618.01;453.51;61.07;20.94;0;52.87;0;1;7.12;0;0;0;6.5;6.8;2.6;2.9;2.6;-32767;12250
"18-11-2024 12:30:00";0;634.01;445.88;64.44;21.17;0;52.88;0;0;7.26;41.97;71.41;5.04;6.58;6.8;2.6;2.74;2.6;-32767;12697.33
"18-11-2024 12:35:00";0;650.01;421.79;60.12;22.03;0;52.33;0;7;7.14;45.5;85.93;6.2;6.6;6.88;2.44;2.46;2.44;-32767;13418.13
"18-11-2024 12:40:00";0;666.01;410.31;59.81;22.61;0;52.2;0;1;7.91;52.15;90.87;6.2;6.6;6.82;2.48;2.56;2.48;-32767;14153.73
"18-11-2024 12:45:00";0;681.2;396.8;63.25;22.29;0;52.12;0;6;8.43;10.08;17.19;1.16;6.6;6.8;2.58;2.68;2.58;-32767;14420.13
"18-11-2024 12:50:00";0;697.01;394;62.37;21.47;0;51.53;0;1;7.77;0;0;0;6.6;6.8;2.6;2.86;2.6;-32767;14450
"18-11-2024 12:55:00";0;712.2;403.76;67.69;22.03;0;51.32;0;1;7.84;0;0;0;6.6;6.8;2.6;2.98;2.6;-32767;14450
"18-11-2024 13:00:00";0;728.01;520.68;69.81;22.77;0;51.06;0;1;8.39;0;0;0;6.6;6.88;2.6;3.08;2.6;-32767;14450
"18-11-2024 13:05:00";0;743.2;568.96;66.75;22.9;0;50.51;0;0;7.69;0;0;0;6.6;6.9;2.6;3.1;2.6;-32767;14450
"18-11-2024 13:10:00";0;758.2;563.43;60.31;21.84;0;50.16;0;1;7.66;52.87;81.33;5.04;6.6;6.9;2.44;2.61;2.44;-32767;14515.07
"18-11-2024 13:15:00";0;773.2;473.16;62.25;22.9;0;49.86;0;1;7.86;62.4;100;6.2;6.6;6.9;2.64;2.74;2.64;-32767;15156.27
"18-11-2024 13:20:00";0;788.2;469.27;64.63;23.77;0;49.31;0;0;7.41;59.69;87.96;6.2;6.68;6.9;2.7;2.8;2.7;-32767;15918.13
"18-11-2024 13:25:00";0;802.39;431.52;61.75;22.11;0;48.79;0;0;7.46;11.05;15.9;1.16;6.7;6.9;2.78;2.8;2.78;-32767;16531.73
"18-11-2024 13:30:00";0;817.2;409.8;65.88;21.78;0;48.05;0;0;7.66;0;0;0;6.7;6.9;2.8;2.96;2.8;-32767;16640
"18-11-2024 13:35:00";0;831.39;407.81;67;22.61;0;47.74;0;0;7.94;0;0;0;6.7;6.9;2.8;3.08;2.8;-32767;16640
"18-11-2024 13:40:00";0;845.39;384.41;69.44;23.61;0;46.97;0;0;8;0;0;0;6.7;6.9;2.8;3.18;2.8;-32767;16640
"18-11-2024 13:45:00";0;859.39;383.88;73.25;24.53;0;45.91;0;1;7.92;0;0;0;6.62;6.9;2.8;3.28;2.8;-32767;16640
"18-11-2024 13:50:00";0;873.39;433.8;70.75;24.62;0;45.29;0;1;8.79;0;0;0;6.6;6.9;2.8;3.3;2.8;-32767;16640
"18-11-2024 13:55:00";0;886.57;405.15;67.56;22.65;0;44.39;0;1;9;0;0;0;6.6;6.9;2.8;3.3;2.8;-32767;16640
"18-11-2024 14:00:00";0;899.57;500.11;67.81;22.36;0;43.14;0;1;8.51;53.84;69.78;5.04;6.68;6.9;2.88;2.97;2.88;-32767;17217.47
"18-11-2024 14:05:00";0;912.57;510.99;72.88;23.05;0;42.41;0;2;8.56;65.14;81.49;6.2;6.7;6.9;2.74;2.82;2.74;-32767;17968.13
"18-11-2024 14:10:00";0;924.76;468.96;78.07;23.93;0;41.57;0;0;8.19;12.11;15.03;1.16;6.7;6.9;2.86;2.88;2.86;-32767;18720
"18-11-2024 14:15:00";0;936.76;442.11;79;24.1;0;40.83;0;0;8.43;0;0;0;6.7;6.9;2.9;2.98;2.9;-32767;18860
"18-11-2024 14:20:00";0;948.76;409.53;70.05;22.07;0;39.56;0;0;8.17;0;0;0;6.7;6.9;2.9;3.16;2.9;-32767;18860
"18-11-2024 14:25:00";0;960.76;411.13;72.07;21.44;0;38.81;0;1;8.59;0;0;0;6.7;6.9;2.9;3.28;2.9;-32767;18860
"18-11-2024 14:30:00";0;971.95;405.68;73;22.13;0;37.56;0;0;8.7;0;0;0;6.7;6.9;2.9;3.38;2.9;-32767;18860
"18-11-2024 14:35:00";0;983.76;402.37;77.88;23.03;0;36.73;0;7;9.59;0;0;0;6.7;6.9;2.9;3.4;2.9;-32767;18860
"18-11-2024 14:40:00";0;994.13;403.63;79;23.77;0;35.46;0;1;9.15;0;0;0;6.7;6.9;2.9;3.4;2.9;-32767;18860
"18-11-2024 14:45:00";0;1004.95;413.76;83.88;23.98;0;34.22;0;0;9.49;0;0;0;6.7;6.9;2.9;3.4;2.9;-32767;18860
"18-11-2024 14:50:00";0;1015.13;409.49;75.24;23.51;0;32.86;0;0;9.11;0;0;0;6.7;6.9;2.9;3.48;2.9;-32767;18860
"18-11-2024 14:55:00";0;1024.32;413.69;72.19;22.18;0;32.03;0;0;8.67;0;0;0;6.7;6.9;2.9;3.5;2.9;-32767;18860
